ComID,CodRIP,CodREG,CodPROV,CodCOM,CodUTS,Name,Area (m2),UTM X (m E),UTM Y (m N),Lat (Deg N),Lon (Deg E),EOBS Points
1,1,1,1,201,1001,Agliè,1.33E+07,404145.0229,5.02E+06,45.36590751,7.775985593,4
2,1,1,1,201,1002,Airasca,1.60E+07,380314.3611,4.98E+06,44.92176384,7.48350462,4
3,1,1,1,201,1003,Ala di Stura,4.58E+07,365323.497,5.02E+06,45.30680451,7.282043585,4
4,1,1,1,201,1004,Albiano d'Ivrea,1.10E+07,417371.7088,5.03E+06,45.43159021,7.943659898,4
5,1,1,1,201,1006,Almese,1.77E+07,375740.6579,5.00E+06,45.11800544,7.420164078,4
6,1,1,1,201,1007,Alpette,5.32E+06,388593.8999,5.03E+06,45.40664502,7.576383646,4
7,1,1,1,201,1008,Alpignano,1.20E+07,383317.5702,5.00E+06,45.10086257,7.516941266,4
8,1,1,1,201,1009,Andezeno,7.50E+06,410705.552,4.99E+06,45.03583773,7.866334745,4
9,1,1,1,201,1010,Andrate,9.11E+06,413048.3714,5.04E+06,45.54700473,7.88611636,4
10,1,1,1,201,1011,Angrogna,3.83E+07,355962.2016,4.97E+06,44.86102986,7.176867615,4
11,1,1,1,201,1012,Arignano,7.99E+06,413281.2832,4.99E+06,45.0377663,7.898998749,4
12,1,1,1,201,1013,Avigliana,2.37E+07,373435.9016,4.99E+06,45.07509171,7.392066446,4
13,1,1,1,201,1014,Azeglio,1.01E+07,421162.1074,5.03E+06,45.42290137,7.992271973,4
14,1,1,1,201,1015,Bairo,6.99E+06,401953.378,5.03E+06,45.3767425,7.747760349,4
15,1,1,1,201,1016,Balangero,1.31E+07,383928.7434,5.01E+06,45.27694025,7.520152834,4
16,1,1,1,201,1017,Baldissero Canavese,4.51E+06,401767.466,5.03E+06,45.40552672,7.744748795,4
17,1,1,1,201,1018,Baldissero Torinese,1.59E+07,405879.8145,4.99E+06,45.07001905,7.804355997,4
18,1,1,1,201,1019,Balme,6.29E+07,357872.4272,5.02E+06,45.30001995,7.187212487,4
19,1,1,1,201,1020,Banchette,1.88E+06,410456.0225,5.03E+06,45.45824125,7.854708708,4
20,1,1,1,201,1021,Barbania,1.28E+07,391840.7427,5.02E+06,45.29432011,7.620605583,4
21,1,1,1,201,1022,Bardonecchia,1.32E+08,321526.4873,5.00E+06,45.10090555,6.731560891,6
22,1,1,1,201,1023,Barone Canavese,4.00E+06,411064.7412,5.02E+06,45.31827409,7.865298693,4
23,1,1,1,201,1024,Beinasco,6.69E+06,388890.5396,4.99E+06,45.01622319,7.589857272,4
24,1,1,1,201,1025,Bibiana,1.84E+07,364176.4686,4.96E+06,44.78796133,7.283008967,4
